ID,coords,att_12,att_12_m_I,att_12_g_C,sect1,sect2,sect3,sect4,maximo,maximo_2,maximo_3,ratio32,area1,area12,area2,area3,kurt_1,kurt_2,middle_maximo,mean,var,skew,kurt,geo_mean,har_mean,entr,att_12_prof,porosity
02344,"['60', '65', '4', '9']",10.956069348921556,0.6533466798888586,0.25814382781120054,6.557203389655644,19.328596201802885,19.762473366030886,13.459237303145803,69.16,19.680999999999997,18.4,0.9350526886622894,338.9599999999999,94.96,113.99666666666666,164.16666666666669,-0.24733313435381338,3.586935278279093,8.04,3.8208,5.790133333333333,0.0040504198745724505,-0.8793939378939274,1.7250987299013645,0.11585138226598486,2.9942016770158038,10.577844918101034,0.5861963636363636
02345,"['60', '65', '5', '10']",11.38742395418332,0.7347934007743835,0.19859959064304603,6.464651889462459,18.765399140427036,17.28032235235241,13.788541081028015,68.8,18.721,17.64,0.9413986290334772,343.2933333333333,94.63999999999999,103.77666666666666,154.11666666666667,-0.2909567853315788,3.901430508937976,8.4,3.7984000000000004,6.9864,0.10330975683244072,-1.0089540848368304,1.458828667900412,0.0014882466418448864,2.9479439690385423,11.198756018918463,0.6475272727272727
02346,"['60', '65', '6', '11']",11.886251416139649,0.7105721678603379,0.24796611243194297,6.025376721549822,17.95756337824178,13.987858008944574,14.290863424927077,67.2,17.281,16.44,0.9499997719251112,335.56,93.30666666666666,94.59333333333332,143.42,-0.30738331558753634,3.9094932308922563,8.72,3.7376,8.162533333333334,0.2077615727396484,-1.1122494912625154,1.1475194499762773,0.0012084898666376985,2.899642433856546,11.778528768781708,0.8332727272727273
02347,"['60', '65', '7', '12']",12.255950493663859,0.6214836900731311,0.3434279883267717,5.941116710204431,17.515442240763534,9.62478833637185,14.663449360870743,65.16,16.000999999999998,15.12,0.944210265625332,323.08,91.6,87.44,133.27666666666667,-0.2925452977993382,3.877473311345538,8.92,3.688,8.917466666666666,0.2955670748105682,-1.2238550901217942,0.9591671098860592,0.0010652651244956847,2.8640542611810536,12.732678881506672,0.9312145454545454
02348,"['60', '65', '8', '13']",12.353121564410472,0.4993840569372921,0.4572974468856277,6.147493233475235,17.08230179299084,7.014254682708471,14.864642342724617,63.2,15.280999999999999,14.2,0.9297456637709434,304.9733333333333,91.48,85.10999999999999,123.44,-0.17113375142121526,3.6573043309007995,9.08,3.6992000000000007,9.127866666666666,0.3155678077210627,-1.2106287481078637,0.8819561667901099,0.0009437462744445243,2.851333059155639,13.703735646807404,0.863410909090909
02349,"['60', '65', '9', '14']",12.2012420801768,0.5461041907193066,0.4056815673831972,6.36630599484134,16.771979724867414,6.207772420967163,14.746136457663626,61.56,15.120999999999999,13.72,0.9099536286478095,287.91999999999996,94.14666666666668,85.83999999999997,117.95,-0.03450828034609977,3.383396987895249,9.12,3.8128,9.027066666666666,0.28716559988117824,-1.1797625145294335,0.9628963822479912,0.0009271782646601731,2.865289824209815,13.564825230129589,0.7411418181818181
02350,"['60', '65', '10', '15']",11.833092416553802,0.6305418833868212,0.32154068491000226,7.102879579421043,16.646762221634916,6.973647653124507,14.440021115149072,60.08,15.401,13.68,0.8925434643999985,273.38666666666666,97.01333333333332,89.05999999999999,117.81333333333332,0.16426725179081497,3.293254101478961,9.12,3.9311999999999996,8.522266666666667,0.23600673266731978,-1.1085686122944776,1.1630651034026942,0.0010461608935608082,2.899413143003146,12.03772616538995,0.6311563636363636
02351,"['60', '65', '11', '16']",11.432411725399907,0.602597416885957,0.32750193510235254,7.774854137221222,16.57976073832144,10.08575626831873,14.200929903729213,58.68,15.761,13.68,0.8719341325397018,262.38666666666666,100.41333333333334,93.70666666666666,119.7,0.48142557865105073,3.2392428243590996,9.08,4.0848,8.015333333333333,0.1637175129427636,-1.0427317383502452,1.492565360362339,0.0013259007068157516,2.9388755555698576,10.805047813624263,0.4409309090909091
02352,"['60', '65', '12', '17']",11.113661802972683,0.6386054243531638,0.29569941598744426,8.53526741432976,16.182807121814044,13.80151849764287,14.146061636113798,57.48,16.041,13.8,0.8632656537533607,258.1466666666667,105.48000000000002,97.11666666666666,121.38666666666666,0.8043944879621313,3.2826592039661655,9.44,4.3024000000000004,8.155733333333332,0.1160397730582056,-0.9811741308349585,1.7679532555927204,0.09707332205045924,2.9667981879691787,10.308743555669723,0.3817309090909091
02353,"['60', '65', '13', '18']",11.057709296860372,0.6731251559862701,0.26617597032244333,8.537476971450335,15.586097451079565,15.586353414769757,14.571621882024205,56.48,15.921,13.8,0.8708689903475317,265.5333333333333,109.50666666666666,98.20666666666666,122.11666666666666,1.0272757594034094,3.210551005575604,9.88,4.5152,9.018533333333332,0.09821989071061625,-0.9918022617364621,1.785022788165997,0.09701176456715134,2.970449573767247,10.009296915073925,0.4759054545454546
