ID,coords,att_12,att_12_m_I,att_12_g_C,sect1,sect2,sect3,sect4,maximo,maximo_2,maximo_3,ratio32,area1,area12,area2,area3,kurt_1,kurt_2,middle_maximo,mean,var,skew,kurt,geo_mean,har_mean,entr,att_12_prof,porosity,l_n_voids,l_RVB
03541,"['95', '100', '26', '31']",11.70456935948967,0.4632983045991199,0.45226764735210573,6.906957387798663,18.945545031268214,17.7385650630132,19.889831097660636,67.96,17.721,15.44,0.8715647268594036,377.0399999999999,86.16,102.28666666666666,168.91333333333333,0.07528646841541306,3.256587996429963,8.44,3.5984,6.073199999999999,0.20896687430005026,-0.8246204862596709,1.1540332964546791,0.0010894608892534786,2.945722772346477,11.412813472370402,0.2526837606837607,9,0.5455012853470437
03542,"['95', '100', '27', '32']",11.8200357950955,0.43785946849065127,0.49524589300506255,6.966142254641496,19.625744003496443,19.307239131331404,20.01682996133863,68.52,17.641,15.24,0.865365896152501,356.96,84.32,104.61666666666666,170.62666666666664,-0.07486934963934816,3.23105736187796,8.2,3.5359999999999996,5.398933333333333,0.2091641420108804,-0.7451391463481708,1.3449734321260922,0.1899107740012825,2.96785584259996,11.541447435624985,0.2905025641025641,9,0.522360306924634
03543,"['95', '100', '28', '33']",11.773678814729394,0.43889810322855155,0.5182632675770777,7.057087056646409,20.197714321690142,19.479689306521017,19.977897079513554,68.88,17.840999999999998,15.24,0.8562715757319179,332.8133333333333,84.16,109.69666666666666,175.44999999999996,-0.2686303325601444,3.1674415454862306,7.92,3.5391999999999992,4.866933333333333,0.1729124806390835,-0.754703616677781,1.5786702612821062,0.30197886672664803,2.9919994504219294,11.3236893059659,0.2765128205128205,6,0.5072700296735905
03544,"['95', '100', '29', '34']",11.672220198787258,0.42358413025530073,0.5025291496216139,7.2582811161194805,20.50775000374745,19.529254075143044,19.784372572761054,69.16,18.121,15.28,0.8450290839800221,315.84,86.2,114.50333333333332,180.5966666666666,-0.4427133278902741,3.0550160315495423,7.92,3.5951999999999997,4.688266666666666,0.1461572936244298,-0.7359625736669103,1.6891799394662275,0.30207877733368355,3.009518903580318,10.878321357518828,0.2223042735042735,6,0.5128875492125984
03545,"['95', '100', '30', '35']",11.543120366688731,0.31783946275322456,0.5719875648988512,7.5242477487508745,20.251629028436867,19.659349280379743,19.640628400266984,69.08,18.361,15.28,0.8332132602000789,307.67999999999995,89.65333333333332,118.32,183.71999999999997,-0.5586722083982961,3.0427723114678287,8.04,3.688,5.1008,0.133187048053795,-0.8338549624069411,1.7359963473361568,0.30213369214688107,3.0076957931407247,10.878321357518828,0.26912136752136756,10,0.557966411748266
03546,"['95', '100', '31', '36']",11.460584504787649,0.37019304527973723,0.5117573087510505,8.115315576775293,19.765967279690184,19.011601450912487,19.406358402669998,68.56,18.401,15.0,0.8143073241872928,300.23999999999995,94.49333333333334,120.70666666666666,182.04999999999995,-0.6719713612119458,3.0996907793383253,8.36,3.8224,5.845066666666667,0.13261893757536247,-0.9303277594346341,1.7296358169237573,0.30208044156130387,2.996332572724614,11.071998157031109,0.3220034188034188,10,0.5705518866922897
03547,"['95', '100', '32', '37']",11.472712664077449,0.5337449373764578,0.3834280401199464,9.351042182256181,19.286887352651267,18.64499113139975,18.889966176799057,67.24,18.041,14.36,0.7926446228826447,297.61333333333334,97.18666666666668,119.79666666666667,180.59333333333333,-0.7217348739011316,3.2363504981782483,8.64,3.9408,6.375733333333333,0.10438237987569222,-0.956104505686119,1.5747446916115677,0.1132341983961676,2.9857367016604406,11.412813472370402,0.314974358974359,11,0.6020623032671225
03548,"['95', '100', '33', '38']",11.608465293778016,0.6099321806521293,0.3204164174107489,10.582234313009005,19.250430783619002,18.784154410923517,18.420180896637945,64.48,17.081,14.12,0.838238224088163,311.25333333333333,95.46666666666665,112.37666666666667,185.88666666666668,-0.6486752403547714,3.3726422985322078,8.8,3.9152,6.381199999999999,0.11750310446960915,-0.8108919100340283,1.400674610735656,0.0012327040031713005,2.9816770848110354,11.282244366312744,0.3042940170940171,11,0.6204974945509292
03549,"['95', '100', '34', '39']",11.717385006349536,0.6667333643225593,0.26957227822120344,10.125327775583084,17.52656613999539,15.109304191914243,14.539735753488676,59.04,15.481,16.72,1.237042414599564,307.90666666666664,85.81333333333333,100.02999999999999,208.93666666666664,-0.5315491150722381,3.7215321581341674,8.4,3.5968,5.789866666666667,0.24970229440264546,-0.5788761399654601,1.2492175697584693,0.0011394419905993295,2.965803975780837,11.23568814487146,0.284991452991453,11,0.6104846449136276
03550,"['95', '100', '35', '40']",11.794485297558333,0.691232082299272,0.23296253362804348,9.565862899784316,15.972164179471847,11.407054999713127,10.771478840429836,53.84,14.001,19.48,1.6396747182491873,307.62666666666667,76.11999999999999,88.00666666666666,233.9033333333333,-0.40697841022139203,4.086123434329372,8.0,3.2784000000000004,4.986533333333333,0.38234556694358607,-0.2868738888619074,1.1135677357558442,0.0010462073381204268,2.956439218502394,11.394280570552173,0.17855042735042737,11,0.599471527591621
